 t,a,e,inc,omega,varpi,f
 0.0000000000000000E+00, 4.9635809919947532E-01, 9.9970219958635809E-01, 2.4034154905993418E-05, 1.4902751456093242E+00,-3.6401616492758611E+00,-3.1415874953151506E+00
 3.6525000000000000E+05, 4.9228133334306257E-01, 9.9969973535835899E-01, 2.2725840877089879E-03, 1.4365185135848998E-01,-2.5875834329954337E+00, 3.1415874095745218E+00
 7.3050000000000000E+05, 5.0239674712705518E-01, 9.9970577596003618E-01, 4.5038924361498513E-03, 1.8017897968878602E-01, 2.0079005880858709E+00, 3.1415876184966693E+00
 1.0957500000000000E+06, 5.0666021078423318E-01, 9.9970825029811494E-01, 6.6964086530306669E-03, 2.2038449489784531E-01, 3.6731330930983619E-01,-3.1415877028437538E+00
 1.4610000000000000E+06, 4.9754838829635156E-01, 9.9970289836028070E-01, 8.8454906751690154E-03, 2.6120676993133823E-01,-1.2943645054325297E+00,-3.1415875196129144E+00
 1.8262500000000000E+06, 4.9288704261309829E-01, 9.9970008812980748E-01, 1.0948565343173962E-02, 3.0208456073382844E-01,-3.0095802923364894E+00, 3.1415874220313085E+00
 2.1915000000000000E+06, 5.0117799612633973E-01, 9.9970504164646012E-01, 1.3002453310708647E-02, 3.4340592796093450E-01, 1.5742866690750412E+00, 3.1415875934930786E+00
 2.5567500000000000E+06, 5.0583925420265063E-01, 9.9970775122599453E-01, 1.5000104477791249E-02, 3.8472516745493529E-01,-7.5756491427342365E-02,-3.1415876861083443E+00
 2.9220000000000000E+06, 4.9864516033483203E-01, 9.9970352940337925E-01, 1.6944066248050456E-02, 4.2595283295694686E-01,-1.7371958434703656E+00,-3.1415875415930810E+00
 3.2872500000000000E+06, 4.9381253835985228E-01, 9.9970062877032062E-01, 1.8826671323819596E-02, 4.6717672753002643E-01,-3.4449732508260142E+00, 3.1415874410632481E+00
 3.6525000000000000E+06, 5.0011123884054209E-01, 9.9970439682927681E-01, 2.0649209355756350E-02, 5.0833550198338062E-01, 1.1388546343822563E+00, 3.1415875714786354E+00
 4.0177500000000000E+06, 5.0476500088655063E-01, 9.9970711604960849E-01, 2.2409353929487542E-02, 5.4960619064707794E-01,-5.1907947462739279E-01,-3.1415876646038137E+00
 4.3830000000000000E+06, 4.9959974111423611E-01, 9.9970408514994213E-01, 2.4103227880641020E-02, 5.9094961892101971E-01,-2.1813188569672404E+00,-3.1415875608333521E+00
 4.7482500000000000E+06, 4.9501985472183774E-01, 9.9970134842444347E-01, 2.5727936793105751E-02, 6.3223199827503263E-01, 2.4022689639952821E+00,-3.1415874661857965E+00
 5.1135000000000000E+06, 4.9924170680722557E-01, 9.9970386887898721E-01, 2.7284357324083873E-02, 6.7350237069437702E-01, 7.0389337088786297E-01, 3.1415875534211275E+00
 5.4787500000000000E+06, 5.0348261269296590E-01, 9.9970635455706713E-01, 2.8770378551592386E-02, 7.1479047500832293E-01,-9.6214041033784570E-01, 3.1415876387590180E+00
 5.8440000000000000E+06, 5.0032217066906604E-01, 9.9970449218033153E-01, 3.0186075650664553E-02, 7.5613451635120787E-01,-2.6265403078703766E+00,-3.1415875750084008E+00
 6.2092500000000000E+06, 4.9637600666418585E-01, 9.9970214545763336E-01, 3.1528137337334304E-02, 7.9752521467114823E-01, 1.9649059513279363E+00,-3.1415874940017150E+00
 6.5745000000000000E+06, 4.9861568346487162E-01, 9.9970348385017604E-01, 3.2792225020213880E-02, 8.3890374574768312E-01, 2.6912338817644521E-01, 3.1415875402636360E+00
 6.9397500000000000E+06, 5.0206287517869097E-01, 9.9970551488014914E-01, 3.3980291021022249E-02, 8.8023431949220188E-01,-1.4046768743740248E+00, 3.1415876101168871E+00
 7.3050000000000000E+06, 5.0077549859288517E-01, 9.9970475998347141E-01, 3.5091798759295710E-02, 9.2165870942626016E-01,-3.0728456619278774E+00,-3.1415875842069432E+00
 7.6702500000000000E+06, 4.9781972879938946E-01, 9.9970300660491185E-01, 3.6123075855684465E-02, 9.6304190819209412E-01, 1.5258765003937156E+00,-3.1415875238171074E+00
 8.0355000000000000E+06, 4.9829062784459721E-01, 9.9970328910060957E-01, 3.7073090066683766E-02, 1.0045172275799799E+00,-1.6586279317262220E-01, 3.1415875335557795E+00
 8.4007500000000000E+06, 5.0060445179104229E-01, 9.9970465302943878E-01, 3.7937510597856508E-02, 1.0460562838869631E+00,-1.8468544045230255E+00, 3.1415875805854445E+00
 8.7660000000000000E+06, 5.0093190970326007E-01, 9.9970484484150057E-01, 3.8717907287185417E-02, 1.0876627710067279E+00,-3.5201838011274225E+00,-3.1415875871836128E+00
 9.1312500000000000E+06, 4.9923341094019225E-01, 9.9970383949082053E-01, 3.9412735596917665E-02, 1.1292989507185560E+00, 1.0841938412848926E+00,-3.1415875526194732E+00
 9.4965000000000000E+06, 4.9822592594136905E-01, 9.9970324280819323E-01, 4.0021410637808709E-02, 1.1710851160607620E+00,-6.0290041413193074E-01,-3.1415875320249200E+00
 9.8617500000000000E+06, 4.9920396614119816E-01, 9.9970382161672100E-01, 4.0541241817053347E-02, 1.2130331407184571E+00,-2.2903572912729468E+00, 3.1415875520072092E+00
 1.0227000000000000E+07, 5.0086091034160629E-01, 9.9970480543680462E-01, 4.0972233568457951E-02, 1.2551652955736885E+00,-3.9703864740316153E+00, 3.1415875858097904E+00
 1.0592250000000000E+07, 5.0059019902338031E-01, 9.9970464627836475E-01, 4.1312020514544447E-02, 1.2974577673560761E+00, 6.3760732088204986E-01,-3.1415875803392748E+00
 1.0957500000000000E+07, 4.9843318992382685E-01, 9.9970337430333678E-01, 4.1562841913304671E-02, 1.3399084597516289E+00,-1.0451034674071187E+00,-3.1415875364930677E+00
 1.1322750000000000E+07, 4.9793811658963633E-01, 9.9970307618827392E-01, 4.1724811085701613E-02, 1.3826035519964290E+00,-2.7384953563976024E+00, 3.1415875262295319E+00
 1.1688000000000000E+07, 5.0059655631943334E-01, 9.9970465276168674E-01, 4.1795709653617549E-02, 1.4255849952936301E+00,-4.4261799558134287E+00, 3.1415875805385398E+00
 1.2053250000000000E+07, 5.0178567227402471E-01, 9.9970534843636494E-01, 4.1774358459985138E-02, 1.4688306688758619E+00, 1.8352891043982189E-01,-3.1415876044461175E+00
 1.2418500000000000E+07, 4.9879300165869384E-01, 9.9970358501428835E-01, 4.1662038739758482E-02, 1.5123443864011026E+00,-1.4955356586703272E+00,-3.1415875437888512E+00
 1.2783750000000000E+07, 4.9684294519729461E-01, 9.9970242019533440E-01, 4.1457705570396443E-02, 1.5561327221762702E+00,-3.1941816656800355E+00, 3.1415875035608760E+00
 1.3149000000000000E+07, 5.0019959664644364E-01, 9.9970441865798920E-01, 4.1164856009419423E-02, 1.5413492099451955E+00,-1.3933218552815698E+00, 3.1415875724904145E+00
 1.3514250000000000E+07, 5.0278033756056406E-01, 9.9970593980362865E-01, 4.0779909709420567E-02, 1.4967823297151086E+00, 2.8034653176078050E-01,-3.1415876246215912E+00
 1.3879500000000000E+07, 4.9923925624280457E-01, 9.9970386190778260E-01, 4.0303893023400657E-02, 1.4518512999058117E+00,-4.3263113301460017E+00,-3.1415875532285047E+00
 1.4244750000000000E+07, 4.9595344141140768E-01, 9.9970190104439616E-01, 3.9736739810816428E-02, 1.4064991786557144E+00,-2.6225256358202653E+00, 3.1415874854490311E+00
 1.4610000000000000E+07, 4.9974731566606945E-01, 9.9970416094713455E-01, 3.9079733767156073E-02, 1.3606903636267449E+00,-9.1817910835457295E-01, 3.1415875635417581E+00
 1.4975250000000000E+07, 5.0357829130595799E-01, 9.9970641209126421E-01, 3.8333747920441669E-02, 1.3143044991502448E+00, 7.5755723416631970E-01,-3.1415876407091430E+00
 1.5340500000000000E+07, 4.9969168082734522E-01, 9.9970413206347819E-01, 3.7502773390421712E-02, 1.2673660152988593E+00,-3.8499013249467682E+00,-3.1415875625128762E+00
 1.5705750000000000E+07, 4.9522093247126175E-01, 9.9970146179632702E-01, 3.6582272220874679E-02, 1.2196974629337070E+00,-2.1403193529243092E+00,-3.1415874701921132E+00
 1.6071000000000000E+07, 4.9929032066701667E-01, 9.9970389274317506E-01, 3.5574290037312793E-02, 1.1713756891828306E+00,-4.2634314535098095E-01, 3.1415875542859206E+00
 1.6436250000000000E+07, 5.0421555799746376E-01, 9.9970678769758747E-01, 3.4483832461396358E-02, 1.1221611520667896E+00, 1.2540735160626717E+00, 3.1415876534892528E+00
 1.6801500000000000E+07, 5.0013357921511670E-01, 9.9970440228465096E-01, 3.3309903528339513E-02, 1.0720462203561576E+00,-3.3511888419308993E+00,-3.1415875717328308E+00
 1.7166750000000000E+07, 4.9466463652779263E-01, 9.9970113762432977E-01, 3.2056592773850340E-02, 1.0208655500691977E+00,-1.6338016849593626E+00,-3.1415874588281683E+00
 1.7532000000000000E+07, 4.9891960596781715E-01, 9.9970368510877450E-01, 3.0724326030876097E-02, 9.6832239670558051E-01, 9.2517214289751015E-02, 3.1415875470250443E+00
 1.7897250000000000E+07, 5.0476238088286218E-01, 9.9970711728873429E-01, 2.9312751985781135E-02, 9.1423671036137677E-01, 1.7819852863901420E+00, 3.1415876646225285E+00
 1.8262500000000000E+07, 5.0050919696558871E-01, 9.9970462889901457E-01, 2.7828860020971121E-02, 8.5846631855812039E-01,-2.8154092251176501E+00,-3.1415875794809209E+00
 1.8627750000000000E+07, 4.9418449673209974E-01, 9.9970085036687273E-01, 2.6277552415095017E-02, 8.0044091419927887E-01,-1.0836815641226500E+00,-3.1415874488098350E+00
 1.8993000000000000E+07, 4.9860047879830099E-01, 9.9970349496518940E-01, 2.4659335167107568E-02, 7.3972913874798929E-01, 6.6221629789839509E-01, 3.1415875404732039E+00
 1.9358250000000000E+07, 5.0522104356275799E-01, 9.9970738523065306E-01, 2.2983092994438046E-02, 6.7564653960851373E-01, 2.3710415651449779E+00, 3.1415876737294970E+00
 1.9723500000000000E+07, 5.0080937334823128E-01, 9.9970480992680044E-01, 2.1251878171201697E-02, 6.0713321690658828E-01,-2.2038363341446674E+00,-3.1415875856646811E+00
 2.0088750000000000E+07, 4.9376657039316574E-01, 9.9970060747945788E-01, 1.9473723300612155E-02, 5.3323421187599251E-01,-4.3976321126200352E-01,-3.1415874402644950E+00
 2.0454000000000000E+07, 4.9834446543280747E-01, 9.9970335718807068E-01, 1.7663386513431672E-02, 4.5205284224052644E-01, 1.3498914761430232E+00, 3.1415875355946214E+00
 2.0819250000000000E+07, 5.0561629040979372E-01, 9.9970762691380055E-01, 1.5830852556483452E-02, 3.6082082366894030E-01,-3.1707954706864880E+00, 3.1415876818425250E+00
 2.1184500000000000E+07, 5.0105640047599964E-01, 9.9970496430890310E-01, 1.3993854448593539E-02, 2.5569611225399780E-01,-1.3918434837687328E+00,-3.1415875908885345E+00
 2.1549750000000000E+07, 4.9337356031363050E-01, 9.9970037223312458E-01, 1.2184961843696088E-02, 1.3038702960158677E-01, 4.7565376319993014E-01,-3.1415874320400192E+00
 2.1915000000000000E+07, 4.9811975674559539E-01, 9.9970322623998420E-01, 1.0443621169032481E-02, 2.4801440150544047E-02, 2.3424568405106365E+00, 3.1415875310501651E+00
 2.2280250000000000E+07, 5.0596497196437806E-01, 9.9970782655168089E-01, 8.8495081460272223E-03, 2.2413996729314178E-01,-2.6090247849348120E+00, 3.1415876886457679E+00
 2.2645500000000000E+07, 5.0126169202367021E-01, 9.9970508683331982E-01, 7.5364626630257591E-03, 4.8804157342009546E-01,-8.8677283000491414E-01,-3.1415875950782457E+00
 2.3010750000000000E+07, 4.9302132850651886E-01, 9.9970016454464927E-01, 6.7047452304436952E-03, 8.2801575062216526E-01,-3.7880303511818636E-01,-3.1415874247429567E+00
 2.3376000000000000E+07, 4.9793624758920185E-01, 9.9970312461555311E-01, 6.5735361012141617E-03, 1.2167531467039190E+00,-4.2170444307109900E+00, 3.1415875274743117E+00
 2.3741250000000000E+07, 5.0631099574892657E-01, 9.9970803731878977E-01, 7.2086240613930186E-03, 1.5570433461600401E+00,-4.6918217216506788E+00, 3.1415876957124809E+00
 2.4106500000000000E+07, 5.0148786680495328E-01, 9.9970523024947344E-01, 8.4527001053637581E-03, 1.2600688010709182E+00,-1.0910898278472652E+00,-3.1415875999079170E+00
 2.4471750000000000E+07, 4.9272179691382295E-01, 9.9969999036252033E-01, 1.0088498685759104E-02, 1.0350469409685761E+00,-9.7273547880720490E-01,-3.1415874185952264E+00
 2.4837000000000000E+07, 4.9776991621410771E-01, 9.9970303309764175E-01, 1.1966697306655642E-02, 8.6252849526423159E-01,-3.6226468252051247E+00, 3.1415875242468894E+00
 2.5202250000000000E+07, 5.0659736956383217E-01, 9.9970820075606448E-01, 1.3986393188808075E-02, 7.2494591228366934E-01, 1.8093991735469017E+00, 3.1415877012754807E+00
 2.5567500000000000E+07, 5.0167402799862604E-01, 9.9970533829033981E-01, 1.6088579987805707E-02, 6.1106396780031746E-01,-1.1156025443594569E-01,-3.1415876036234920E+00
 2.5932750000000000E+07, 4.9244768080376977E-01, 9.9969982121974910E-01, 1.8243779344360854E-02, 5.1307078807757445E-01,-1.6263359739228982E+00,-3.1415874127091823E+00
 2.6298000000000000E+07, 4.9761699126530956E-01, 9.9970294551804506E-01, 2.0420000677519371E-02, 4.2612736646643135E-01,-3.0507294145546791E+00, 3.1415875211890913E+00
 2.6663250000000000E+07, 5.0683515077349506E-01, 9.9970834792219276E-01, 2.2603125989984051E-02, 3.4753325620643788E-01, 1.4821206933107816E+00, 3.1415877061826118E+00
 2.7028500000000000E+07, 5.0184412685352264E-01, 9.9970544981809306E-01, 2.4785366812561372E-02, 2.7470677431898227E-01, 2.5416615069239845E-01,-3.1415876073458597E+00
 2.7393750000000000E+07, 4.9224325103127770E-01, 9.9969970763791638E-01, 2.6948345679763116E-02, 2.0639563695228061E-01,-1.5169596180874600E+00,-3.1415874086454010E+00
 2.7759000000000000E+07, 4.9746884105423905E-01, 9.9970286405380626E-01, 2.9086212122661482E-02, 1.4161651593467869E-01,-2.8660715419904346E+00, 3.1415875183130852E+00
 2.8124250000000000E+07, 5.0698678620560489E-01, 9.9970843759198325E-01, 3.1190200008052959E-02, 7.9438254196151067E-02, 1.7494669912367322E+00, 3.1415877092037805E+00
 2.8489500000000000E+07, 5.0196607038395746E-01, 9.9970552086984943E-01, 3.3250509157617993E-02, 1.9429420480178265E-02, 3.2704802210867867E-01,-3.1415876097844935E+00
 2.8854750000000000E+07, 4.9210755131752792E-01, 9.9969962172610405E-01, 3.5264679749875225E-02, 3.8663927270682658E-02,-1.3645123154350001E+00,-3.1415874056708950E+00
 2.9220000000000000E+07, 4.9736526612266707E-01, 9.9970280072538242E-01, 3.7226222512051134E-02, 9.5454575689612062E-02,-3.1161150422143709E+00, 3.1415875161363518E+00
 2.9585250000000000E+07, 5.0705326005051976E-01, 9.9970847650249461E-01, 3.9123931802955945E-02, 1.5101744955666618E-01, 1.4782946842741160E+00, 3.1415877105176224E+00
 2.9950500000000000E+07, 5.0203947355176315E-01, 9.9970557036394281E-01, 4.0961229028474835E-02, 2.0556998179059416E-01,-1.9038662815085136E-01,-3.1415876114247441E+00
 3.0315750000000000E+07, 4.9209486891007370E-01, 9.9969961825175158E-01, 4.2723981349467581E-02, 2.5932880649286788E-01,-1.9167161162730826E+00,-3.1415874055122130E+00
 3.0681000000000000E+07, 4.9735857005110851E-01, 9.9970280244768894E-01, 4.4408958777968813E-02, 3.1222008095179604E-01, 2.6223998888312563E+00, 3.1415875161464291E+00
 3.1046250000000000E+07, 5.0705229154309162E-01, 9.9970848027528980E-01, 4.6018825605405198E-02, 3.6449869073235736E-01, 9.4024028413720928E-01, 3.1415877106088632E+00
 3.1411500000000000E+07, 5.0202252136948788E-01, 9.9970555608707945E-01, 4.7541478849631190E-02, 4.1629379553831874E-01,-7.2316420402015325E-01,-3.1415876109728438E+00
 3.1776750000000000E+07, 4.9215594013415415E-01, 9.9969964867740013E-01, 4.8972485027557473E-02, 4.6749982835670778E-01,-2.4444429862050359E+00,-3.1415874066351743E+00
 3.2142000000000000E+07, 4.9743344438656528E-01, 9.9970283727263964E-01, 5.0313474095344250E-02, 5.1829508881798403E-01, 2.0994103839415050E+00, 3.1415875174360326E+00
 3.2507250000000000E+07, 5.0695622498493143E-01, 9.9970841868300475E-01, 5.1552200966016280E-02, 5.6868169376740518E-01, 4.2116948925711373E-01, 3.1415877085737094E+00
 3.2872500000000000E+07, 5.0185635546062424E-01, 9.9970545392523125E-01, 5.2693412635757726E-02, 6.1858557626323407E-01,-1.2393624798394329E+00,-3.1415876075128897E+00
 3.3237750000000000E+07, 4.9228558744650375E-01, 9.9969972823819875E-01, 5.3733093156969107E-02, 6.6827250505649738E-01,-2.9579135735925814E+00,-3.1415874094106431E+00
 3.3603000000000000E+07, 4.9767496478498374E-01, 9.9970298584275397E-01, 5.4662561635486023E-02, 7.1758635047373021E-01, 1.5902067165041016E+00, 3.1415875225330625E+00
 3.3968250000000000E+07, 5.0682084807442274E-01, 9.9970834357169291E-01, 5.5483348019855508E-02, 7.6652813588665458E-01,-8.4513914441184390E-02, 3.1415877060020971E+00
 3.4333500000000000E+07, 5.0150247579740581E-01, 9.9970524348847523E-01, 5.6192142300851698E-02, 8.1519690388954680E-01,-1.7441696739768178E+00,-3.1415876003219987E+00
 3.4698750000000000E+07, 4.9239189315206644E-01, 9.9969978624409339E-01, 5.6784382781583216E-02, 8.6354902552308754E-01,-3.4610990963833084E+00,-3.1415874114962019E+00
 3.5064000000000000E+07, 4.9808812918008194E-01, 9.9970322277722545E-01, 5.7265178908351769E-02, 9.1151134495194386E-01, 1.0918629966875883E+00, 3.1415875307978722E+00
 3.5429250000000000E+07, 5.0670886033842999E-01, 9.9970827034308596E-01, 5.7625538929275549E-02, 9.5927764261372472E-01,-5.7899791301760506E-01, 3.1415877035916324E+00
 3.5794500000000000E+07, 5.0094759339684491E-01, 9.9970491082796753E-01, 5.7861552863654887E-02, 1.0066717437893180E+00,-2.2382380094847298E+00,-3.1415875889619018E+00
 3.6159750000000000E+07, 4.9245690203029963E-01, 9.9969982337781216E-01, 5.7980575806826133E-02, 1.0537635824567635E+00,-3.9547197926802502E+00,-3.1415874128147689E+00
 3.6525000000000000E+07, 4.9873419808469488E-01, 9.9970360686594528E-01, 5.7973688701949785E-02, 1.1005470038409360E+00, 6.0324146303194448E-01, 3.1415875440527210E+00
 3.6890250000000000E+07, 5.0671468222213734E-01, 9.9970827890987890E-01, 5.7845290038328973E-02, 1.1469715108789926E+00,-1.0623827222478039E+00, 3.1415877038381157E+00
 3.7255500000000000E+07, 5.0022564821278581E-01, 9.9970448867064032E-01, 5.7596220341572232E-02, 1.1931078204514822E+00,-2.7216314027419135E+00,-3.1415875744279647E+00
 3.7620750000000000E+07, 4.9240964469183074E-01, 9.9969979668860154E-01, 5.7220236811195528E-02, 1.2389524363513400E+00, 1.8442255502742666E+00,-3.1415874118642586E+00
 3.7986000000000000E+07, 4.9955975086983700E-01, 9.9970409439495633E-01, 5.6722123712951260E-02, 1.2843821861268350E+00, 1.2458947151122168E-01, 3.1415875608682029E+00
 3.8351250000000000E+07, 5.0687648163106869E-01, 9.9970836797465679E-01, 5.6106839495070400E-02, 1.3294436628974555E+00,-1.5345493982788896E+00,-3.1415877068945539E+00
 3.8716500000000000E+07, 4.9934769025987347E-01, 9.9970396600188738E-01, 5.5369990029128818E-02, 1.3740978752447848E+00,-3.1932018109982545E+00,-3.1415875564711264E+00
 3.9081750000000000E+07, 4.9213958774292405E-01, 9.9969963409122209E-01, 5.4518567035933753E-02, 1.4183101582028157E+00, 1.3714344696413012E+00, 3.1415874061657560E+00
 3.9447000000000000E+07, 5.0048419788526577E-01, 9.9970464853660346E-01, 5.3552432352949896E-02, 1.4621266968922613E+00,-3.4248089908074997E-01, 3.1415875798602548E+00
 3.9812250000000000E+07, 5.0726559963101781E-01, 9.9970860493837843E-01, 5.2470241292311599E-02, 1.5053552779330779E+00,-1.9930732569396161E+00,-3.1415877148180593E+00
 4.0177500000000000E+07, 4.9843648545752667E-01, 9.9970344331277849E-01, 5.1281397110380517E-02, 1.5479650143136725E+00,-3.6492856856899376E+00,-3.1415875382956968E+00
 4.0542750000000000E+07, 4.9162951233630003E-01, 9.9969933984817183E-01, 4.9985926712990757E-02, 1.5516056268394220E+00,-9.1406352669341573E-01, 3.1415873957273486E+00
 4.0908000000000000E+07, 5.0141625696174896E-01, 9.9970521074866836E-01, 4.8585807675559416E-02, 1.5103327685492356E+00, 7.9310148608912967E-01, 3.1415875990454953E+00
 4.1273250000000000E+07, 5.0790412175731758E-01, 9.9970898399346719E-01, 4.7090087854924370E-02, 1.4698635991505451E+00,-3.8508830499493172E+00,-3.1415877275514950E+00
 4.1638500000000000E+07, 4.9753567511870744E-01, 9.9970291812204581E-01, 4.5494631149602803E-02, 1.4302654788704494E+00,-2.2001292146756222E+00,-3.1415875200595806E+00
 4.2003750000000000E+07, 4.9084044083949291E-01, 9.9969887061562113E-01, 4.3808440916661293E-02, 1.3918270178246552E+00,-4.8090583691172994E-01, 3.1415873791787665E+00
