 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 7.8447422290361046E-01, 6.0834664588920739E-01,-1.9969120829822830E-05,-3.9513768078724216E+00, 4.9406457433741968E+00, 8.5109194480842930E-05
 1.0000000000000000E+04, 9.1942447593574672E-02, 8.7350690713975376E-01,-3.8912345286838393E-06,-6.7630159775340308E+00, 4.0468238355105237E+00, 1.5419351934414232E-04
 2.0000000000000000E+04,-5.3882159830241264E-02, 4.7338393802340284E-01, 3.7568554635555176E-07,-1.3877978821730380E+01, 5.3820449933842180E+00, 3.2206035966064598E-04
 3.0000000000000000E+04, 5.5285161275541561E-01,-1.1507567839490689E-01,-1.3021807808685633E-05,-3.2051614071177479E+00, 1.2025744391053829E+01, 5.3535964150520809E-05
 4.0000000000000000E+04, 8.9295150764616882E-01, 2.1409519371633395E-01,-2.1805678887727571E-05,-3.8363436921545158E+00, 6.1126200753536999E+00, 8.0087805802931455E-05
 5.0000000000000000E+04, 4.8065111367347130E-01, 8.5979426472517706E-01,-1.3176739595578014E-05,-5.0827763542705267E+00, 3.9726821498729583E+00, 1.1408455564660197E-04
 6.0000000000000000E+04,-1.7137277881223423E-01, 7.5845392212581098E-01, 2.6392356703184696E-06,-8.8925899540976374E+00, 2.7134045084326299E+00, 2.0778791458878006E-04
 7.0000000000000000E+04, 1.3487924184581881E-01, 3.1551881477425281E-01,-3.8411557960903377E-06,-1.5403856991643835E+01, 1.0523556757215404E+01, 3.4867532026196615E-04
 8.0000000000000000E+04, 7.1435605540552871E-01,-3.4922629950159906E-02,-1.7045802861666699E-05,-4.2295563181710802E+00, 8.9973665644854020E+00, 8.3931018740388466E-05
 9.0000000000000000E+04, 7.8977629574754160E-01, 5.6379083790050422E-01,-2.0010004920608568E-05,-4.7349990413641212E+00, 4.5709994087446466E+00, 1.0459645705150688E-04
 1.0000000000000000E+05, 1.1014927210941869E-01, 9.4142379915696928E-01,-4.4586970774641559E-06,-6.3357367647156515E+00, 2.8597799727806654E+00, 1.4625225359721824E-04
 1.1000000000000000E+05,-2.8489095758607325E-01, 5.7640273951351284E-01, 5.7106445116921676E-06,-1.1401572804306582E+01, 1.0259425000716806E+00, 2.7115595922191953E-04
 1.2000000000000000E+05, 3.7278489408561299E-01, 1.3868525426550041E-01,-9.1986414260683357E-06,-9.5687875270268350E+00, 1.3285319242459369E+01, 2.0354980802303655E-04
 1.3000000000000000E+05, 8.0838520363809574E-01, 1.9958774823296432E-01,-1.9751739446304898E-05,-5.1914608615692597E+00, 6.4863434546961400E+00, 1.1182890305044298E-04
 1.4000000000000000E+05, 5.2051154150688284E-01, 8.4513175419609221E-01,-1.4103302099058001E-05,-5.4486932303308713E+00, 3.2175124978354122E+00, 1.2431043270772784E-04
 1.5000000000000000E+05,-2.2226279605181892E-01, 8.5159411965144438E-01, 3.6783155738374793E-06,-7.7346131847528552E+00, 1.3818554138491121E+00, 1.8262120595293889E-04
 1.6000000000000000E+05,-2.2366404489974320E-01, 4.2473053298887969E-01, 4.5370832360637959E-06,-1.4797476194728148E+01, 2.3803080136339805E-02, 3.5444647767625376E-04
 1.7000000000000000E+05, 5.5386899656481225E-01, 9.0358905848224758E-02,-1.3443320069239892E-05,-7.3271292851703782E+00, 1.0142370682449297E+01, 1.5592386103299583E-04
 1.8000000000000000E+05, 7.5920245622518046E-01, 5.1396252424723221E-01,-1.9181242946914703E-05,-5.7688034532702961E+00, 4.3659859711787794E+00, 1.2975889108895444E-04
 1.9000000000000000E+05, 1.4779138436599368E-01, 9.7434811308752534E-01,-5.4241103083104139E-06,-6.1554073271966896E+00, 1.9088158931805204E+00, 1.4377060413946243E-04
 2.0000000000000000E+05,-4.2989593210335503E-01, 6.5092518300497670E-01, 9.0403599906912651E-06,-9.2401610461196491E+00,-6.1634111459280261E-01, 2.2255138232917540E-04
 2.1000000000000000E+05, 6.0817862967558617E-03, 3.4444028218705935E-01,-8.1155785080368347E-07,-1.8158756254153715E+01, 4.1121026496627699E+00, 4.2706687702416773E-04
 2.2000000000000000E+05, 6.7755869621368647E-01, 2.1984740186173729E-01,-1.6656788225064199E-05,-7.1800898841487149E+00, 6.9382800014208614E+00, 1.5859538888550887E-04
 2.3000000000000000E+05, 5.4063368216563590E-01, 8.0484752849340913E-01,-1.4507477579504735E-05,-6.0573344448501203E+00, 2.5976653823523992E+00, 1.4008948097427029E-04
 2.4000000000000000E+05,-2.2836736451202200E-01, 9.2106351124010732E-01, 3.6902623366082389E-06,-6.9234364070881140E+00, 4.2610549575150036E-01, 1.6503605237963706E-04
 2.5000000000000000E+05,-4.7388448760640317E-01, 4.3929705437541111E-01, 1.0503274862071960E-05,-1.0965200170373711E+01,-3.0864819606082201E+00, 2.6865210057529823E-04
 2.6000000000000000E+05, 2.9285619424752724E-01, 2.6463257816399088E-01,-7.5273243728853068E-06,-1.3814767954164591E+01, 8.9592723288122773E+00, 3.1363068158657534E-04
 2.7000000000000000E+05, 6.8414258771969172E-01, 4.7084462626872453E-01,-1.7299733536393158E-05,-7.1785025744795927E+00, 4.2383806359802074E+00, 1.6377672143436814E-04
