 t,a,e,inc,omega,varpi,f
 1.0000000000000000E+02,-1.6215529053631623E-03, 1.8984139749710681E+04, 3.0815956478909508E-02, 2.2994668687625333E+00, 3.3693189981293892E+00, 3.7801151827312716E-02
 2.0000000000000000E+02,-1.4626826067648967E-03, 1.9988717365049171E+04, 3.0815761486251505E-02, 2.2993793023707965E+00, 8.6384899888469713E-01, 1.7549170243239078E-02
 3.0000000000000000E+02,-1.6313854412231788E-03, 1.8927549427968839E+04, 3.0818349840589621E-02, 2.2992296097960967E+00, 4.6506135240944211E+00, 2.4512994855699225E-03
 4.0000000000000000E+02,-1.5246710347320514E-03, 1.9579325336740316E+04, 3.0800668579648836E-02, 2.3009015806835098E+00, 2.2097057979420205E+00, 4.7656397006641739E-02
 5.0000000000000000E+02,-1.5231908756132111E-03, 1.9582484049929179E+04, 3.0781689324838001E-02, 2.3023456540043843E+00,-3.2993255332975924E-01,-9.2753157259548476E-03
 6.0000000000000000E+02,-1.6308230705340584E-03, 1.8923561471549812E+04, 3.0781696417934577E-02, 2.3027408520124917E+00, 3.5178094049220716E+00, 3.4014115181003252E-02
 7.0000000000000000E+02,-1.4607301288724530E-03, 1.9995101072419733E+04, 3.0781211757369396E-02, 2.3026488251271631E+00, 1.0251654116067899E+00, 2.2824144849276518E-02
 8.0000000000000000E+02,-1.6211955689407200E-03, 1.8980171478221437E+04, 3.0782895510435754E-02, 2.3025137131183686E+00, 4.8062894147594912E+00,-1.6954271911815177E-03
 9.0000000000000000E+02,-1.5395920324190058E-03, 1.9477060746236053E+04, 3.0772321595638086E-02, 2.3037828753114473E+00, 2.3749076875919553E+00, 4.9035843231742787E-02
 1.0000000000000000E+03,-1.5051621530461487E-03, 1.9685703330872657E+04, 3.0746968054054104E-02, 2.3081356943539455E+00,-1.5943581084709191E-01,-7.6680915397513922E-03
 1.1000000000000000E+03,-1.6388856171739229E-03, 1.8863756990595622E+04, 3.0749066639991132E-02, 2.3087373274690486E+00, 3.6902335265221016E+00, 2.9415575253173020E-02
 1.2000000000000000E+03,-1.4599010588711137E-03, 1.9986748033627970E+04, 3.0748396856317025E-02, 2.3086442339058313E+00, 1.2159246034881199E+00, 2.8888085371308790E-02
 1.3000000000000000E+03,-1.6065301806648621E-03, 1.9053157248289896E+04, 3.0749667446911287E-02, 2.3085205702722909E+00, 4.9941537132908032E+00,-6.0764472675440160E-03
 1.4000000000000000E+03,-1.5572836486550997E-03, 1.9351961522923721E+04, 3.0775528765840315E-02, 2.3094747014054700E+00, 2.5757808581136863E+00, 4.9786444878424554E-02
 1.5000000000000000E+03,-1.4833303053607531E-03, 1.9804702156768377E+04, 3.0703484077048239E-02, 2.3208609458964808E+00, 5.3400607832617020E-02,-5.0048245382516704E-03
 1.6000000000000000E+03,-1.6451462028053811E-03, 1.8804002241956488E+04, 3.0703058163710988E-02, 2.3214741417417906E+00, 3.9089554509359763E+00, 2.3448741240800722E-02
 1.7000000000000000E+03,-1.4611428868900216E-03, 1.9952960902258172E+04, 3.0702383198795515E-02, 2.3213812909831857E+00, 1.4619101092710478E+00, 3.6239428585540093E-02
 1.8000000000000000E+03,-1.5842851234014960E-03, 1.9162171419873750E+04, 3.0703820844033738E-02, 2.3212617039693066E+00, 5.2417268279356355E+00,-1.0741539036978524E-02
 1.9000000000000000E+03,-1.5793477562419502E-03, 1.9190916752091518E+04, 3.0755394703138945E-02, 2.3224266452217321E+00, 2.8417948272672415E+00, 4.9135621042290481E-02
 2.0000000000000000E+03,-1.4584527700855867E-03, 1.9946798966843671E+04, 3.0666848127623821E-02, 2.3342467260092050E+00, 3.4071333152283012E-01, 1.0745988758505182E-03
 2.1000000000000000E+03,-1.6467359515663818E-03, 1.8770768061011880E+04, 3.0662370320051285E-02, 2.3346316405253082E+00, 4.1960213347647546E+00, 1.4442724571704818E-02
 2.2000000000000000E+03,-1.4728944441624538E-03, 1.9847716519786805E+04, 3.0662012583291546E-02, 2.3345361328780911E+00, 1.7808451612327167E+00, 4.4848254948597059E-02
 2.3000000000000000E+03,-1.5507116224801982E-03, 1.9343754726626568E+04, 3.0664498738674238E-02, 2.3344157051872281E+00,-7.2117001740250064E-01,-1.4212858606336551E-02
 2.4000000000000000E+03,-1.6071644090462714E-03, 1.8999089402290752E+04, 3.0685750826650624E-02, 2.3359120671781839E+00, 3.1763397917399669E+00, 4.4713564599515830E-02
 2.5000000000000000E+03,-1.4395335525453014E-03, 2.0062539246692308E+04, 3.0646554405055957E-02, 2.3406118373861062E+00, 7.0270678300340772E-01, 1.2385498702608124E-02
 2.6000000000000000E+03,-1.6359608940521514E-03, 1.8818894530107431E+04, 3.0641130513842631E-02, 2.3407606649173696E+00, 4.5434686458588978E+00, 2.8907916213799603E-03
 2.7000000000000000E+03,-1.5022751625425603E-03, 1.9638609986420241E+04, 3.0641477919953888E-02, 2.3406584313267658E+00, 2.1549998092014695E+00, 5.1798073004717005E-02
 2.8000000000000000E+03,-1.5091975675409952E-03, 1.9594176329814873E+04, 3.0646373780977839E-02, 2.3405490672829501E+00,-3.4612649238647242E-01,-1.3218852310157757E-02
 2.9000000000000000E+03,-1.6335636872543665E-03, 1.8831664439157270E+04, 3.0639956981558497E-02, 2.3422460972859032E+00, 3.5499915074802542E+00, 3.5076759095521548E-02
 3.0000000000000000E+03,-1.4361793121228741E-03, 2.0078344454166097E+04, 3.0617844465259787E-02, 2.3438436217300205E+00, 1.1062224773382403E+00, 2.6686151482843506E-02
 3.1000000000000000E+03,-1.6088716008006534E-03, 1.8969767720283649E+04, 3.0613559385400790E-02, 2.3438602456913951E+00, 4.9257741710904011E+00,-7.7318452363908290E-03
 3.2000000000000000E+03,-1.5436035750442574E-03, 1.9367059134783060E+04, 3.0615041002141619E-02, 2.3437493578020687E+00, 2.5543960079692498E+00, 5.3739270166627530E-02
