 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 4.9134676668880539E+00,-3.1886966347017140E+01, 1.9916040459076740E+00, 1.1527534096154652E+00,-5.3286282831047291E-02,-3.2825297484028232E-01
 1.0000000000000000E+02, 3.1762626372440369E+01, 3.3833015147601614E+01,-1.2824644290129269E+01,-5.4692434515962796E-01, 5.6652815611009610E-01, 9.7770605622185730E-02
 2.0000000000000000E+02,-3.1000061380187812E+01, 3.9335412984143288E+00, 8.5592826082901041E+00, 5.9523921382871658E-02,-1.1849137076545488E+00, 1.0965284788163032E-01
 3.0000000000000000E+02, 4.2478440559473107E+01, 4.9222511936087465E-01,-1.2358587617680795E+01, 1.3842597039669580E-01, 8.6079889397437259E-01,-1.3229103391081798E-01
 4.0000000000000000E+02,-9.8738301121291876E+00, 4.1138755774980872E+01,-1.5439942671628277E+00,-7.9672242632896750E-01,-3.7674027554825851E-01, 2.7119015932750096E-01
 5.0000000000000000E+02, 1.6544050503294216E+01,-3.0349842862991739E+01,-1.5446445932094521E+00, 1.0381555537651588E+00, 3.0218464136954692E-01,-3.3310713682307297E-01
 6.0000000000000000E+02, 2.4884810583537433E+01, 3.9394071951730787E+01,-1.1424691703167611E+01,-6.6200705323067954E-01, 4.1918112503841010E-01, 1.4692189443765968E-01
 7.0000000000000000E+02,-2.7745220651597869E+01,-9.4077319801202979E+00, 9.0444175537507743E+00, 4.8408568886236658E-01,-1.1517686570772270E+00,-1.6979140302442044E-02
 8.0000000000000000E+02, 4.2828759270750432E+01, 9.9473851464067291E+00,-1.3471888841907706E+01,-6.6769948836335247E-02, 8.3694494035443379E-01,-7.0226652084593000E-02
 9.0000000000000000E+02,-1.8126319316740663E+01, 3.5615797988081439E+01, 1.4408804256267707E+00,-7.1190817413546004E-01,-6.1531590341555364E-01, 2.7210472513002643E-01
 1.0000000000000000E+03, 2.6759061495486705E+01,-2.5422613277737934E+01,-5.0344197227631025E+00, 8.3867573589052513E-01, 5.6839789051281597E-01,-3.0368684284321196E-01
