 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 4.9134676668880459E+00,-3.1886966347017140E+01, 1.9916040459076716E+00, 3.3939117841202352E-03,-2.2025493639511257E-02, 1.3756737398027124E-03
 3.6525000000000000E+05, 1.3180904447188960E+01,-3.1342850409107566E+01,-4.7824999248085687E-01, 1.0204188928946666E-02,-2.4264523608958827E-02,-3.7024418909149717E-04
 7.3050000000000000E+05, 1.9642577818378928E+01,-2.9555160949420141E+01,-2.5527972992498698E+00, 1.5416159170615642E-02,-2.3195889547812248E-02,-2.0035216283440728E-03
 1.0957500000000000E+06, 2.5031516006006154E+01,-2.6988829056972754E+01,-4.3982933448710604E+00, 1.8673357815167983E-02,-2.0133501377716394E-02,-3.2810999295904628E-03
 1.4610000000000000E+06, 2.9599165978101379E+01,-2.3853608526145006E+01,-6.0698886169004904E+00, 2.1109744749770863E-02,-1.7012087020303896E-02,-4.3289665478110926E-03
 1.8262500000000000E+06, 3.3865441309701666E+01,-1.9865895977520065E+01,-7.7406168727992384E+00, 2.2790826417880664E-02,-1.3369386883779607E-02,-5.2092944515902961E-03
 2.1915000000000000E+06, 3.7820838547206066E+01,-1.4738490432408620E+01,-9.4383567739002689E+00, 2.2570699068753086E-02,-8.7956281525166206E-03,-5.6326173250055376E-03
 2.5567500000000000E+06, 4.1018412097346506E+01,-8.5564092920997084E+00,-1.1031346746804125E+01, 2.1005037167943386E-02,-4.3816346371028138E-03,-5.6490204418245052E-03
 2.9220000000000000E+06, 4.3300485700769443E+01,-8.3227843117565870E-01,-1.2508107551765884E+01, 1.8489740674714518E-02,-3.5539121819418010E-04,-5.3410870852998267E-03
 3.2872500000000000E+06, 4.3923188179361020E+01, 8.4490751040718539E+00,-1.3652885914693938E+01, 1.3975664234658491E-02, 2.6883621531691437E-03,-4.3441325023742062E-03
 3.6525000000000000E+06, 4.1987633454725163E+01, 1.8791778440513315E+01,-1.4156961523940423E+01, 7.7487028470178739E-03, 3.4679712839626093E-03,-2.6126285060568124E-03
 4.0177500000000000E+06, 3.6948364081992040E+01, 2.8920000705056925E+01,-1.3725717935910408E+01, 2.1699357574394237E-03, 1.6984390295553516E-03,-8.0609593646869420E-04
 4.3830000000000000E+06, 2.8766767750504258E+01, 3.7443127685797982E+01,-1.2201096403744785E+01,-2.0888681571147303E-03,-2.7188927794737508E-03, 8.8596960147609160E-04
 4.7482500000000000E+06, 1.7852808542639156E+01, 4.3135126444089344E+01,-9.5842824296117328E+00,-4.0398287686386073E-03,-9.7608465542831421E-03, 2.1687825640110316E-03
 5.1135000000000000E+06, 5.1059491406488657E+00, 4.4827945812036326E+01,-6.0203027239710760E+00,-1.9701583189791648E-03,-1.7297107341164606E-02, 2.3229666351312793E-03
 5.4787500000000000E+06,-7.8104196849827909E+00, 4.1778785667482587E+01,-1.9204507749535249E+00, 4.1751652765521941E-03,-2.2333413856207414E-02, 1.0266028861842622E-03
 5.8440000000000000E+06,-1.9153657893252554E+01, 3.3985159570864781E+01, 2.1943016044656098E+00, 1.2985856179696074E-02,-2.3041363529143013E-02,-1.4876993840693439E-03
 6.2092500000000000E+06,-2.7160851214354114E+01, 2.2206757629143556E+01, 5.7254252432769919E+00, 2.1034971639326858E-02,-1.7198228186735720E-02,-4.4341083666689322E-03
 6.5745000000000000E+06,-3.0411602489704318E+01, 8.6308776816319845E+00, 8.0418766143606000E+00, 2.1905930599959555E-02,-6.2169498491431944E-03,-5.7926836005192635E-03
 6.9397500000000000E+06,-2.9071414821431304E+01,-4.1983249377454932E+00, 8.9297038427151278E+00, 1.4395953688219476E-02, 2.0789800476902075E-03,-4.4219245523088504E-03
 7.3050000000000000E+06,-2.4605848771395493E+01,-1.4470131906452288E+01, 8.6336333279601174E+00, 4.7235311873426488E-03, 2.7777997003926532E-03,-1.6573797824893186E-03
 7.6702500000000000E+06,-1.8624649651304370E+01,-2.1886969009868427E+01, 7.6065730883122793E+00,-1.8767459052529160E-03,-2.2054793103069878E-03, 7.6648984887065039E-04
 8.0355000000000000E+06,-1.1923095505659395E+01,-2.7011166758448738E+01, 6.1382245811027429E+00,-4.1601331199953746E-03,-9.4245701033094393E-03, 2.1417115518108914E-03
 8.4007500000000000E+06,-5.3773204173818732E+00,-3.0102483483808669E+01, 4.5064920789165459E+00,-2.9082878462050807E-03,-1.6280727213792284E-02, 2.4373061534082134E-03
 8.7660000000000000E+06, 1.0239268473049841E+00,-3.1763124094881874E+01, 2.7761585034511311E+00, 6.8742937673266105E-04,-2.1324672418832621E-02, 1.8638176299034523E-03
 9.1312500000000000E+06, 7.7924195815997530E+00,-3.2216423834507538E+01, 8.2121433964550106E-01, 5.7258147239209068E-03,-2.3672400082161604E-02, 6.0342248106612676E-04
 9.4965000000000000E+06, 1.4833638238484081E+01,-3.1310416751132660E+01,-1.3506637016211525E+00, 1.1249835646655597E-02,-2.3745829365360838E-02,-1.0243437525475382E-03
 9.8617500000000000E+06, 2.2483098530587061E+01,-2.8634167650308093E+01,-3.8747276054567785E+00, 1.7122629308685203E-02,-2.1807147158651400E-02,-2.9509066274875911E-03
 1.0227000000000000E+07, 3.0380069385509000E+01,-2.3520005461930722E+01,-6.7029342203943250E+00, 2.1291078094303251E-02,-1.6483381479940485E-02,-4.6975763661509552E-03
 1.0592250000000000E+07, 3.7276140211464970E+01,-1.5822811019543259E+01,-9.4824085603477855E+00, 2.1817470514377157E-02,-9.2609833237849576E-03,-5.5499890277544046E-03
 1.0957500000000000E+07, 4.2225643182614590E+01,-5.5953566636301622E+00,-1.1919717037603016E+01, 1.9418764957906651E-02,-2.5731974155322511E-03,-5.4816496818518336E-03
 1.1322750000000000E+07, 4.4056948921010090E+01, 6.2906958061303699E+00,-1.3581675888374539E+01, 1.4377237498451005E-02, 2.0528618038757377E-03,-4.4321494033606685E-03
 1.1688000000000000E+07, 4.2123927247612286E+01, 1.8624296686586270E+01,-1.4163864360595534E+01, 7.3237105670549947E-03, 3.2380399302691016E-03,-2.4625444460168893E-03
 1.2053250000000000E+07, 3.6397393511597045E+01, 2.9698363682990792E+01,-1.3503584980325279E+01, 8.8335901635880701E-04, 7.2077461596567352E-04,-3.2772988378239223E-04
 1.2418500000000000E+07, 2.7512183400832434E+01, 3.8285048470730096E+01,-1.1665124048849284E+01,-3.0818254343367647E-03,-4.2885667928610084E-03, 1.3066893115923849E-03
 1.2783750000000000E+07, 1.6317690900991895E+01, 4.3448067905258021E+01,-8.8173652465060499E+00,-4.2255418361373843E-03,-1.1251078951486075E-02, 2.2832976773294773E-03
 1.3149000000000000E+07, 4.1955091637048545E+00, 4.4578732168966340E+01,-5.3198956321864292E+00,-1.7548071298611801E-03,-1.8645431102144349E-02, 2.2250912633532335E-03
 1.3514250000000000E+07,-7.3671819967683456E+00, 4.1692083708317490E+01,-1.6193630318564509E+00, 4.1040774174013516E-03,-2.3225643035121143E-02, 9.0210765154599747E-04
 1.3879500000000000E+07,-1.6986462440073019E+01, 3.5627418347300207E+01, 1.7980660849231573E+00, 1.1300523619878740E-02,-2.3701726240489454E-02,-1.1961930469314179E-03
 1.4244750000000000E+07,-2.4025984425032146E+01, 2.7496810795209029E+01, 4.6330876746486087E+00, 1.8088593520863949E-02,-2.0701696329929863E-02,-3.4881417639615123E-03
 1.4610000000000000E+07,-2.8218356973914585E+01, 1.8840235853084074E+01, 6.6695685432262204E+00, 2.1974777611450919E-02,-1.4671654816810315E-02,-5.1938631876125522E-03
 1.4975250000000000E+07,-3.0090876426536486E+01, 1.0320170914012589E+01, 8.0000362294105454E+00, 2.1526460723423933E-02,-7.3828608608953262E-03,-5.7230790900628017E-03
 1.5340500000000000E+07,-3.0177439644394983E+01, 2.6287244318723988E+00, 8.7179273645200439E+00, 1.8328757196515312E-02,-1.5965983998674257E-03,-5.2949745175224962E-03
 1.5705750000000000E+07,-2.8939641023075122E+01,-4.4049308084443499E+00, 8.9770904782326078E+00, 1.3814787273773398E-02, 2.1027621602433782E-03,-4.2853536156621675E-03
 1.6071000000000000E+07,-2.6353503895723609E+01,-1.1283601736172526E+01, 8.8199162923673082E+00, 7.5127668644298850E-03, 3.2166906370540097E-03,-2.5143516069259676E-03
 1.6436250000000000E+07,-2.2354577562797420E+01,-1.7777928543615783E+01, 8.2018009066166133E+00, 9.1334082822702918E-04, 7.2635270939805960E-04,-3.3510092561395729E-04
 1.6801500000000000E+07,-1.6678309806079966E+01,-2.3778373306432510E+01, 7.0330336178696662E+00,-3.7551719711874567E-03,-5.3537727742769600E-03, 1.5835088220159819E-03
 1.7166750000000000E+07,-8.6013702195874799E+00,-2.8982218161442152E+01, 5.0762218184104828E+00,-4.1454415159110679E-03,-1.3968017574227396E-02, 2.4464916789759599E-03
 1.7532000000000000E+07, 1.7198467500260504E+00,-3.2070992946613444E+01, 2.2614852887766657E+00, 1.1496773415190053E-03,-2.1438708949026317E-02, 1.5117500408950483E-03
 1.7897250000000000E+07, 1.3905250887589359E+01,-3.1725120008205931E+01,-1.4141890365330960E+00, 1.0593538079279020E-02,-2.4169378143085771E-02,-1.0773818847945608E-03
